skill,course_count,example_courses
business,14,Exit Strategies and Business Valuation; Digital Business Models; Agile in Business
data,14,PHP 2020 Basics; Launch Your MySQL Powers; IoT and Big Data
programming,14,Visual Basic Modeling Process; Hacking Basics of Computer Programming; C 2019 ObjectOriented Programming
customer,12,Face to Face Customer Service; Customer Service First Call Resolution; Customer Magnet
web,12,JavaScript BOM DOM; WordPress Your First Steps to Be a FullStack Developer; HTML Web Design Tools
digital,11,HTML Web Design Tools; Introduction to Digital Transformation; Digital Business Models
management,10,Risk Management; Introduction to Supply Chain Management; Operations Management for Startups
functions,8,Essential Unity Controls 1; Be an Autocad Artist Autocad Drawing 2; Advanced JavaScript
marketing,8,Digital Marketing Introduction; Social Media Marketing Basics; Digital Marketing Facebook
personal,8,Critical Thinking; Personal Effectiveness; Sell Yourself and Idea Personal Branding
team,8,Team Dynamics; Shifting Focus from Team Member to Team Leader; Building First Impression
customers,7,Face to Face Customer Service; Spin Selling; Serving Customers using Social Media
database,7,Publish your First Android Studio Project; Access 2019 Essentials; Python Database
professional,7,Emotional Intelligence; Business Ethics and Etiquette; Advanced Excel
project,7,Revit 2020 Intelligible Projects; Managing key stakeholders; Revit 2020Lasting Buildings
projects,7,Revit 2020 Intelligible Projects; Master The Animation in 3D Max; Lets Practice 3D Max
revit,7,Revit 2020 Intelligible Projects; Revit 2020Simple Steps to Create Splendid Stairs; Revit 2020 Create Walls of Armor
social,7,Social Media Marketing Basics; Serving Customers using Social Media; Social Media for Job Prospecting
what,7,Introduction to Digital Transformation; Body Language Fundamentals; The Art of Happiness
adobe,6,Adobe InDesign Formatting Books; Adobe Illustrator Essentials; Adobe InDesign Advanced Techniques
customer service,6,Face to Face Customer Service; Customer Service First Call Resolution; Customer Service Career
digital transformation,6,Introduction to Digital Transformation; Digital Transformation; Introduction to Digital Transformation
do,6,Code of Ethics and Corporate Governance; Financial Inclusion; Increasing Productivity and Time Management
max,6,03 D Max Start Creating your Own Project Material; 03 D Max Hologram Design; Start with 3D Max
objects,6,03 D Max Hologram Design; Be an Autocad Artist Autocad Drawing 2; PHP 2020 OOP
sales,6,Spin Selling; Sell with Stories; The psychology of selling
service,6,Face to Face Customer Service; Customer Service First Call Resolution; Customer Service Career
transformation,6,Introduction to Digital Transformation; Digital Transformation; Introduction to Digital Transformation
android,5,Support Your Android Sensors; Publish your First Android Studio Project; Android Studio Build Your Own APK
autocad,5,Practice your Autocad Skills; Be an Autocad Artist Autocad Drawing 2; Autocad 3D Be the Embodied Hero
can,5,Critical Thinking; Data-Drive Decision Making; Time Management
chain,5,Introduction to Supply Chain Management; Digital Transformation in Supply Chain; Supply Chain Analytics
change,5,Introduction to Digital Transformation; Agile in Business; Presentation Skills Basics
corporate,5,How companies operate; Introduction to Corporate Governance; How to make it in the corporate world
could,5,Spin Selling; Sell with Stories; Effective Complaint Handling Skills
development,5,PHP 2020 OOP; Android Studio 2017 Essentials; Human Development and Behavior
ethical,5,Code of Ethics and Corporate Governance; Ethical Decision Making in Business; Business Ethics
financial,5,Introduction to Accounting; Basics of business finance; Sustainability in Banking Sector
javascript,5,JavaScript BOM DOM; HTML Web Design Tools; JavaScript Basics
mysql,5,Launch Your MySQL Powers; MySQL Advances; Python Database
not,5,Introduction To Waste Management In Egypt; Effective Complaint Handling Skills; Working With Upset Customers
php,5,PHP 2020 Basics; PHP 2020 OOP; PHP 2020 File and Error Handling
practices,5,Cybersecurity Essentials; Introduction to Sustainability; Introduction to talent acquisition
supply,5,Introduction to Supply Chain Management; Digital Transformation in Supply Chain; Supply Chain Analytics
supply chain,5,Introduction to Supply Chain Management; Digital Transformation in Supply Chain; Supply Chain Analytics
sustainability,5,Introduction to Sustainability; Sustainability in Corporates; Sustainable Development Goals
visual,5,Visual Basic Modeling Process; Visual Basic Advanced Custom Controls; Introduction to Visual Basic
designs,4,Be an Autocad Artist Autocad Drawing 2; Advanced Photoshop Shapes and Tools; Adobe Illustrator Make Your Design Looks Great
effects,4,Adobe Illustrator Make Your Design Looks Great; After Effects 2019 Advanced Techniques; After Effects 2019 Effects Presets
elements,4,JavaScript BOM DOM; Be an Autocad Artist Autocad Drawing 2; Revit 2020Lasting Buildings
formatting,4,Go Through Word 2019; Adobe InDesign Formatting Books; PowerPoint Beginnings
hacking,4,Hacking Basics of Computer Programming; Growth Hacking; Hacking White Hat Tools
job,4,Social Media for Job Prospecting; How To Pass An Interview; How companies operate
know,4,Financial Inclusion; The Art of Happiness; Learn and Master Sales
leadership,4,How to manage your managers; Lead Your Company to Winning; Leadership Skills
manipulation,4,Launch Your MySQL Powers; Advanced JavaScript; PHP 2020 File and Error Handling
more,4,03 D Max Hologram Design; Customer Magnet; Increasing Productivity and Time Management
organisational,4,Business Acumen; Lead Your Company to Winning; Office Filling
proficiency,4,Practice your Autocad Skills; How to Start your Advanced Level in Animate 2019; Excel Essential Training
python,4,Python Database; Python Basics 2020; Python Oriented Programming OOP
risk,4,Risk Management; Risk Management and internal controls; Operational Risk
risk management,4,Risk Management; Risk Management and internal controls; Operational Risk
students,4,PHP 2020 OOP; Ethical Decision Making in Business; Supply Chain Analytics
success,4,Team Dynamics; Success Recipe to Become a Star; Shifting Focus from Team Member to Team Leader
thinking,4,Logical Thinking; Critical Thinking; Analytical skills
time,4,Increasing Productivity and Time Management; Healthy Living; Time Management
wordpress,4,WordPress Your First Steps to Be a FullStack Developer; WordPress Plugins; Build a Stronger WordPress Website
yourself,4,Sell Yourself and Idea Personal Branding; How companies operate; Lead Yourself
adobe indesign,3,Adobe InDesign Formatting Books; Adobe InDesign Advanced Techniques; Adobe InDesign Essentials
after,3,After Effects 2019 Advanced Techniques; After Effects 2019 Effects Presets; After Effects 2019 Essentials
after effects,3,After Effects 2019 Advanced Techniques; After Effects 2019 Effects Presets; After Effects 2019 Essentials
animation,3,Adobe Animate CC 2019 Learn How to Make your Character Moves; Master The Animation in 3D Max; Adobe Animate CC 2019 for Beginners
build,3,How to manage your managers; Android Studio Build Your Own APK; Corporate Governance for Startups
career,3,Customer Service Career; Building business relationships; Learn and Master Sales
communication,3,Body Language Fundamentals; Communication Skills; Cross-cultural communication
control,3,Visual Basic Modeling Process; HACCP principles and application; Hacking Start your White Hat Path
css,3,HTML Web Design Tools; C 2019 ASPNet; CSS Basics
cybersecurity,3,Cybersecurity Essentials; Hacking White Hat Tools; Hacking Create your Own Keylogger
databases,3,Python Database; MySQL Kick Start Your Career in Databases; Be a MYSQL Hero
decision-making,3,Critical Thinking; Analytical skills; Data-Drive Decision Making
employees,3,Art of Coaching; Giving Constructive Feedback; Employees Rights and Responsibilities
ethics,3,Code of Ethics and Corporate Governance; Business Ethics; Business Ethics and Etiquette
excel,3,Advanced Excel; Excel Essential Training; Excel Formulas and Functions
file,3,PHP 2020 File and Error Handling; Office Filling; Make a Deep Friendship with your Windows 10 Computer
health,3,Introduction to Mental health; Work life Balance; Healthy Living
html,3,HTML Web Design Tools; HTML Advanced Techniques; HTML Essentials
illustrator,3,Adobe Illustrator Make Your Design Looks Great; Adobe Illustrator Essentials; Adobe Illustrator Advanced Techniques
indesign,3,Adobe InDesign Formatting Books; Adobe InDesign Advanced Techniques; Adobe InDesign Essentials
individuals,3,Critical Thinking; Sell Yourself and Idea Personal Branding; Analytical skills
interface,3,Start with 3D Max; Access 2019 Essentials; Introduction to AutoCAD
interview,3,Interviewing Skills; How To Pass An Interview; Introduction to talent acquisition
like,3,Introduction to Supply Chain Management; Basics of business finance; Be an Autocad Artist Autocad Drawing 2
loops,3,JavaScript Basics; Hacking Start your White Hat Path; Python Basics 2020
main,3,Sell with Stories; Effective Complaint Handling Skills; Learn and Master Sales
media,3,Social Media Marketing Basics; Serving Customers using Social Media; Social Media for Job Prospecting
motion,3,Master The Animation in 3D Max; After Effects 2019 Advanced Techniques; After Effects 2019 Essentials
operations,3,Operations Management for Startups; Hacking Basics of Computer Programming; Hacking White Hat Tools
others,3,Influence Persuasion; Self Awareness; Developing Empathy
out,3,WordPress Plugins; Leading at the Speed of Trust; Sales Principles
performance,3,Performance Management; Procurement and Supplier Management; Art of Coaching
precision,3,Launch Your MySQL Powers; Advanced Photoshop Shapes and Tools; 03 D Max Become an Expert in the Final Touches
presentation,3,PowerPoint Beginnings; Presentation Skills Basics; PowerPoint Professional Looking Presentation
principles,3,Introduction to Accounting; Sales Principles; Basics of Logistics and Transportation
psychological,3,Social Psychology Fundamentals; Introduction to Psychology; Human Development and Behavior
psychology,3,Basics of Cognitive Psychology; Social Psychology Fundamentals; Introduction to Psychology
re,3,Adobe Animate CC 2019 Learn How to Make your Character Moves; Revit 2020Get Started; Introduction to Visual Basic
security,3,Build a Stronger WordPress Website; Hacking White Hat Tools; Make a Deep Friendship with your Windows 10 Computer
selling,3,Spin Selling; Learn and Master Sales; Sales Principles
social media,3,Social Media Marketing Basics; Serving Customers using Social Media; Social Media for Job Prospecting
strategic,3,Analytical skills; Introduction to talent acquisition; Advanced Strategic Negotiation Skills
stress,3,Work life Balance; Stress Management (AR); Anger and Stress
user,3,PHP 2020 OOP; Master Access 2019 Advanced; C 2019 Essentials
want,3,Financial Inclusion; Presentation Skills Basics; Communication Skills
way,3,Advanced Interpersonal Skills; Dealing with Criticism; AI in Everyday life
well,3,Self Awareness; Art of Coaching; Giving Constructive Feedback
where,3,Visual Basic Advanced Custom Controls; Adobe Animate CC 2019 for Beginners; Customer Centricity
windows,3,Get Closer to your Windows 10 Computer; Make a Deep Friendship with your Windows 10 Computer; Access the Worlds Windows Microsoft Edge
work,3,Working Remotely; Revit 2020 Rendering Show off your Fabulous work; Developing Empathy
workplace,3,Designing workplace hygiene policies; Business Ethics and Etiquette; Workplace Diversity
access,2,Access 2019 Essentials; Master Access 2019 Advanced
accounting,2,Introduction to Accounting; Basics of Logistics and Transportation
accounting principles,2,Introduction to Accounting; Basics of Logistics and Transportation
adding,2,WordPress Plugins; Revit 2020 Intelligible Projects
adobe after,2,After Effects 2019 Advanced Techniques; After Effects 2019 Essentials
adobe after effects,2,After Effects 2019 Advanced Techniques; After Effects 2019 Essentials
ai,2,The Art and Science of Prompt Engineering; AI in Everyday life
always,2,Customer Service First Call Resolution; How To Pass An Interview
android studio,2,Android Studio 2017 Essentials; Practice Android Studio 2017
anger,2,Working With Upset Customers; Anger and Stress
animate,2,How to Start your Advanced Level in Animate 2019; Adobe Animate CC 2019 for Beginners
animate cc,2,How to Start your Advanced Level in Animate 2019; Adobe Animate CC 2019 for Beginners
animations,2,Advanced Photoshop Shapes and Tools; After Effects 2019 Effects Presets
app,2,Android Studio Build Your Own APK; Android Studio 2017 Essentials
application,2,Go Through Word 2019; Introduction to Sustainability
architectural,2,Revit 2020Lasting Buildings; Revit 2020Get Started
array,2,Be an Autocad Artist Autocad Drawing 2; Advanced JavaScript
arrays,2,Advanced JavaScript; Advanced PHP 2020
art,2,Adobe Illustrator Advanced Techniques; Sales Principles
behavior,2,Social Psychology Fundamentals; Human Development and Behavior
bookkeeping,2,Introduction to Accounting; Basics of Logistics and Transportation
browsing,2,The Psychology of Internet Addiction; Access the Worlds Windows Microsoft Edge
business ethics,2,Business Ethics; Business Ethics and Etiquette
campaign,2,Social Media Marketing Basics; Digital Marketing Advanced Marketing Strategies
cc,2,How to Start your Advanced Level in Animate 2019; Adobe Animate CC 2019 for Beginners
characters,2,Adobe Animate CC 2019 Learn How to Make your Character Moves; Master The Animation in 3D Max
classes,2,PHP 2020 OOP; Python Oriented Programming OOP
cognitive,2,Basics of Cognitive Psychology; Social Psychology Fundamentals
collaboration,2,Basic Teamwork and Collaboration; Developing Empathy
companies,2,Growth Hacking; How companies operate
company,2,Effective Complaint Handling Skills; Sustainability in Corporates
corporate governance,2,Introduction to Corporate Governance; Corporate Governance for Startups
creativity,2,Lets Practice 3D Max; Creativity and Innovation
crisis,2,The Twenties Journey; Risk and Crisis Management Environmental Awareness
csr,2,Corporate Social Responsibility (CSR) Principles; Supply Chain Sustainability and CSR
data-driven,2,Data-Drive Decision Making; Supply Chain Analytics
database management,2,Python Database; MySQL Kick Start Your Career in Databases
different,2,Success Recipe to Become a Star; Sales Principles
digital marketing,2,Digital Marketing Automation; Digital Marketing Advanced Marketing Strategies
documents,2,Detecting Forgery and Counterfeiting; Getting Started with Word 2019
even,2,Customer Service First Call Resolution; Sustainability in Corporates
every,2,AllStar Customer Service Team Leadership; Adobe Animate CC 2019 for Beginners
feel,2,Increasing Productivity and Time Management; The first 100 Days Magnet Plan
financial statements,2,Introduction to Accounting; Basics of Logistics and Transportation
forgery,2,Detecting Forgery and Counterfeiting; Fraud Forgery
form,2,Body Language Fundamentals; Advanced PHP 2020
frameworks,2,Agile in Business; Digital Transfomation Frameworks
fraud,2,Detecting Forgery and Counterfeiting; Fraud Forgery
fraud forgery,2,Detecting Forgery and Counterfeiting; Fraud Forgery
full,2,Introduction to Digital Transformation; Advanced Excel
game,2,Essential Unity Controls 1; Unity Basics
get,2,Financial Inclusion; Introduction to Visual Basic
goals,2,Sustainable Development Goals; Setting SMART Objectives and Planning
good,2,Healthy Living; Communication Skills
governance,2,Introduction to Corporate Governance; Corporate Governance for Startups
green,2,Sustainability in Corporates; Risk and Crisis Management Environmental Awareness
handling,2,Effective Complaint Handling Skills; PHP 2020 File and Error Handling
has,2,Social Media for Job Prospecting; Advanced Interpersonal Skills
help,2,Workplace Diversity; Setting SMART Objectives and Planning
